iteration,model_id,testDataLoss,trainDataLoss,param_space,feature_imp,model_name,test_acc,test_prec,test_recall
0,0,-0.33455882352941174,-1.6051939059806353,"learning_rate":13 || "max_samples":241 || "max_iter":84 || "bootstrap":0 || "solver":0 || "activation":0 || "alphaNB":18 || "fit_prior":1 || "bootstrapB":1 || "min_samples_leaf":9 || "n_estimators":51 || "max_features":5 || "criterion":0 || "bootstrap_features":0 || "min_samples_split":5 || "alpha":68 || "lag":2 || "max_depth":13 || "learning_rate_init":76 || "hidden_layer_sizes":0,"totalBen":0.09793241121725518 || "retirement":0.09724282228946382 || "totalCompens":0.049385436866296956 || "otherBen":0.10587332424925389 || "totalSal":0.07709901331223375 || "salaries":0.08021296232777002 || "overtime":0.1763419044272889 || "otherSal":0.21896518304765178 || "health":0.0495282368153905 || "year":0.04741870544739521,RandomForest,0.6961268758416744,0.5318310527228548,0.5146717177719198
0,1,-0.40555555555555556,-1.510104319021185,"learning_rate":53 || "max_samples":164 || "max_iter":2 || "bootstrap":1 || "solver":0 || "activation":1 || "alphaNB":52 || "fit_prior":1 || "bootstrapB":0 || "min_samples_leaf":6 || "n_estimators":79 || "max_features":5 || "criterion":0 || "bootstrap_features":0 || "min_samples_split":1 || "alpha":46 || "lag":3 || "max_depth":17 || "learning_rate_init":53 || "hidden_layer_sizes":3,"totalBen":0.11907791260921771 || "retirement":0.13125089251882133 || "totalCompens":0.06829451297634274 || "otherBen":0.0736727569797618 || "totalSal":0.06284141046731384 || "salaries":0.08056499260989644 || "overtime":0.1375696814834125 || "otherSal":0.19652471341182112 || "health":0.06612434671156028 || "year":0.06407878023185229,RandomForest,0.6901934734846483,0.3898255048319669,0.3149344494433467
0,2,-0.3835358796296296,-1.446639312189283,"learning_rate":17 || "max_samples":232 || "max_iter":73 || "bootstrap":1 || "solver":0 || "activation":2 || "alphaNB":56 || "fit_prior":0 || "bootstrapB":0 || "min_samples_leaf":9 || "n_estimators":52 || "max_features":2 || "criterion":1 || "bootstrap_features":0 || "min_samples_split":4 || "alpha":29 || "lag":2 || "max_depth":13 || "learning_rate_init":56 || "hidden_layer_sizes":12,"totalBen":0.11001581869507723 || "retirement":0.11717710407772082 || "totalCompens":0.05349471539369183 || "otherBen":0.07541324562218299 || "totalSal":0.07744645674196471 || "salaries":0.08477324239055795 || "overtime":0.151921487334832 || "otherSal":0.22793612775806596 || "health":0.03705971361278804 || "year":0.06476208837311845,RandomForest,0.4571968583625426,0.3291272159710418,0.21545257268905701
0,3,-0.4114877589453861,-1.4347248790912892,"learning_rate":14 || "max_samples":196 || "max_iter":50 || "bootstrap":1 || "solver":0 || "activation":1 || "alphaNB":2 || "fit_prior":0 || "bootstrapB":1 || "min_samples_leaf":0 || "n_estimators":12 || "max_features":0 || "criterion":0 || "bootstrap_features":0 || "min_samples_split":3 || "alpha":40 || "lag":3 || "max_depth":9 || "learning_rate_init":85 || "hidden_layer_sizes":12,"totalBen":0.1408568659225762 || "retirement":0.09505745674716656 || "totalCompens":0.0781430301681267 || "otherBen":0.0874537738387253 || "totalSal":0.11452819972545805 || "salaries":0.07556628920472533 || "overtime":0.11791937813285551 || "otherSal":0.1557965766149854 || "health":0.07052042158440339 || "year":0.06415800806097759,RandomForest,0.7572786794528807,0.15575570552830917,0.21571416403787325
0,4,-0.4080155367231639,-1.3729653317871788,"learning_rate":46 || "max_samples":76 || "max_iter":81 || "bootstrap":1 || "solver":0 || "activation":0 || "alphaNB":4 || "fit_prior":0 || "bootstrapB":1 || "min_samples_leaf":1 || "n_estimators":80 || "max_features":5 || "criterion":0 || "bootstrap_features":1 || "min_samples_split":2 || "alpha":26 || "lag":2 || "max_depth":13 || "learning_rate_init":56 || "hidden_layer_sizes":12,"totalBen":0.12308886086553694 || "retirement":0.10513443596676826 || "totalCompens":0.08520321424473966 || "otherBen":0.12227806773114895 || "totalSal":0.09857291841990301 || "salaries":0.09407826843780456 || "overtime":0.10657113284238917 || "otherSal":0.14856595528396477 || "health":0.07187089628053574 || "year":0.044636249927208924,RandomForest,0.6407205225305617,0.41179906959988277,0.5730042879453555
1,0,-0.40555555555555556,-1.7311714821162456,"learning_rate":22 || "max_samples":123 || "max_iter":87 || "bootstrap":1 || "solver":0 || "activation":3 || "alphaNB":53 || "fit_prior":0 || "bootstrapB":1 || "min_samples_leaf":6 || "n_estimators":11 || "max_features":5 || "criterion":0 || "bootstrap_features":1 || "min_samples_split":0 || "alpha":50 || "lag":2 || "max_depth":17 || "learning_rate_init":94 || "hidden_layer_sizes":6,"totalBen":0.11907791260921771 || "retirement":0.13125089251882133 || "totalCompens":0.06829451297634274 || "otherBen":0.0736727569797618 || "totalSal":0.06284141046731384 || "salaries":0.08056499260989644 || "overtime":0.1375696814834125 || "otherSal":0.19652471341182112 || "health":0.06612434671156028 || "year":0.06407878023185229,RandomForest,0.6868436277487064,0.08103013469075711,0.15585382053912072
1,1,-0.4671626984126984,-1.5702967066539668,"learning_rate":80 || "max_samples":146 || "max_iter":55 || "bootstrap":1 || "solver":0 || "activation":2 || "alphaNB":15 || "fit_prior":1 || "bootstrapB":0 || "min_samples_leaf":0 || "n_estimators":59 || "max_features":3 || "criterion":1 || "bootstrap_features":1 || "min_samples_split":2 || "alpha":15 || "lag":4 || "max_depth":2 || "learning_rate_init":74 || "hidden_layer_sizes":3,"totalBen":0.10625493645599338 || "retirement":0.09074251758861314 || "totalCompens":0.08007295764029118 || "otherBen":0.10197386093803713 || "totalSal":0.11370081603392097 || "salaries":0.08119503653060643 || "overtime":0.11419841341162958 || "otherSal":0.19732124689099023 || "health":0.0682305141880004 || "year":0.04630970032191745,RandomForest,0.6115904564176806,0.3321548642318917,0.49520302273916517
1,2,-0.3771420674405749,-1.4792588415890606,"learning_rate":86 || "max_samples":67 || "max_iter":3 || "bootstrap":0 || "solver":0 || "activation":2 || "alphaNB":32 || "fit_prior":1 || "bootstrapB":1 || "min_samples_leaf":8 || "n_estimators":58 || "max_features":0 || "criterion":1 || "bootstrap_features":1 || "min_samples_split":3 || "alpha":77 || "lag":2 || "max_depth":20 || "learning_rate_init":7 || "hidden_layer_sizes":1,"totalBen":0.07425807716592159 || "retirement":0.12914048250404675 || "totalCompens":0.06091329659732851 || "otherBen":0.10435902154893409 || "totalSal":0.09295159155518809 || "salaries":0.06598358878790747 || "overtime":0.182237819369434 || "otherSal":0.23092125829889065 || "health":0.028936579241508203 || "year":0.03029828493084063,RandomForest,0.671179819637764,0.2712358692625723,0.003265137570696741
1,3,-0.4296875,-1.3952739066835522,"learning_rate":29 || "max_samples":95 || "max_iter":86 || "bootstrap":1 || "solver":0 || "activation":2 || "alphaNB":64 || "fit_prior":0 || "bootstrapB":1 || "min_samples_leaf":5 || "n_estimators":64 || "max_features":5 || "criterion":0 || "bootstrap_features":1 || "min_samples_split":0 || "alpha":81 || "lag":2 || "max_depth":1 || "learning_rate_init":79 || "hidden_layer_sizes":2,"totalBen":0.12829699686060073 || "retirement":0.12570023546609654 || "totalCompens":0.04864049613274761 || "otherBen":0.06577693440693624 || "totalSal":0.09187406625662536 || "salaries":0.07727759165085203 || "overtime":0.15990066680794782 || "otherSal":0.2036927489104187 || "health":0.038847340950620715 || "year":0.05999292255715423,RandomForest,0.702352194123949,0.3978216411364763,0.3555655318067036
1,4,-0.38572773742265265,-1.391350750740909,"learning_rate":34 || "max_samples":121 || "max_iter":35 || "bootstrap":0 || "solver":0 || "activation":1 || "alphaNB":77 || "fit_prior":1 || "bootstrapB":0 || "min_samples_leaf":0 || "n_estimators":73 || "max_features":0 || "criterion":1 || "bootstrap_features":0 || "min_samples_split":0 || "alpha":37 || "lag":2 || "max_depth":18 || "learning_rate_init":93 || "hidden_layer_sizes":4,"totalBen":0.11253425293186807 || "retirement":0.12079616577070354 || "totalCompens":0.08394834313700839 || "otherBen":0.09001052107357974 || "totalSal":0.09349662600016821 || "salaries":0.06896231044341983 || "overtime":0.09924645879556951 || "otherSal":0.18673613090275018 || "health":0.07815391334192712 || "year":0.06611527760300542,RandomForest,0.518684889677379,0.10679811223731349,-0.0008953632212293228
2,0,-0.3771420674405749,-1.6770334456153502,"learning_rate":64 || "max_samples":8 || "max_iter":89 || "bootstrap":0 || "solver":0 || "activation":1 || "alphaNB":61 || "fit_prior":0 || "bootstrapB":1 || "min_samples_leaf":8 || "n_estimators":79 || "max_features":4 || "criterion":0 || "bootstrap_features":1 || "min_samples_split":2 || "alpha":86 || "lag":4 || "max_depth":20 || "learning_rate_init":16 || "hidden_layer_sizes":7,"totalBen":0.07425807716592159 || "retirement":0.12914048250404675 || "totalCompens":0.06091329659732851 || "otherBen":0.10435902154893409 || "totalSal":0.09295159155518809 || "salaries":0.06598358878790747 || "overtime":0.182237819369434 || "otherSal":0.23092125829889065 || "health":0.028936579241508203 || "year":0.03029828493084063,RandomForest,0.7457470547039029,0.5196326171823629,1.0130326520600383
